AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
32;128;-;6;14;6;8;7;6;10;9;9;10;4;89
25;129;1;-;1;1;-;1;-;-;2;-;2;-;8
32;130;2;-;2;-;1;1;2;2;-;1;2;1;14
25;132;2;2;-;-;-;1;2;1;1;1;-;-;10
8;134;11;7;6;6;9;15;16;10;9;10;9;8;116
36;135;1;-;-;-;1;-;1;-;-;1;1;1;6
36;136;1;1;2;1;-;1;2;-;-;1;-;2;11
36;137;-;-;-;-;-;-;-;2;1;-;1;-;4
29;138;-;-;-;-;-;-;-;-;1;-;1;1;3
29;139;-;-;-;-;-;-;-;-;2;1;-;2;5
29;140;2;1;1;1;1;1;-;1;-;1;2;-;11
8;141;1;-;1;3;-;1;1;2;3;-;-;-;12
36;142;-;-;-;-;-;1;-;-;1;-;1;-;3
29;143;2;5;2;3;3;3;1;4;1;2;4;-;30
29;144;2;3;4;1;1;-;1;5;1;4;1;2;25
8;145;5;7;2;3;2;5;2;-;1;1;1;1;30
8;146;9;6;6;6;4;3;1;1;5;7;5;4;57
8;147;2;1;2;-;2;1;2;2;-;1;-;2;15
29;148;-;1;-;-;-;-;2;2;1;-;1;-;7
11;151;8;3;4;7;6;5;3;2;6;3;6;2;55
11;152;1;1;2;1;-;-;-;-;1;-;1;-;7
11;153;2;-;1;2;-;1;-;-;-;-;-;1;7
11;154;1;-;-;-;1;-;-;2;-;2;1;-;7
36;155;1;-;-;-;-;-;-;-;-;-;-;-;1
11;156;-;-;-;-;-;-;-;-;-;1;-;-;1
11;157;-;-;1;-;-;-;-;-;-;1;-;-;2
11;158;1;2;-;-;-;1;-;-;-;1;1;4;10
35;159;2;2;1;1;1;1;3;2;2;2;4;3;24
33;165;1;4;2;2;-;-;-;2;-;2;2;2;17
33;166;7;8;4;3;8;8;11;8;13;9;6;7;92
33;167;5;-;5;2;-;-;2;-;1;5;-;2;22
33;168;-;-;-;-;1;1;1;-;-;1;-;-;4
