AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;1;-;-;-;-;1;1;1;2;-;-;-;6
5;004;1;-;1;1;-;-;3;2;-;2;1;4;15
5;005;4;1;3;-;-;3;-;-;3;1;1;3;19
4;006;1;-;-;1;4;4;-;1;1;-;-;1;13
5;007;-;1;-;-;1;-;-;-;-;-;-;1;3
2;009;6;2;-;4;-;1;2;2;3;-;2;2;24
2;010;-;-;-;2;-;3;-;2;3;2;2;1;15
23;011;7;2;-;1;-;2;6;1;3;3;2;2;29
19;012;3;4;1;1;2;1;1;1;1;3;1;3;22
19;013;-;5;-;1;-;1;-;1;-;-;-;-;8
23;014;1;-;1;-;-;-;-;-;2;1;-;-;5
23;015;1;1;1;-;-;1;-;2;8;1;1;1;17
31;016;2;5;2;1;2;-;-;2;6;3;1;-;24
4;017;2;3;6;-;3;4;1;2;4;-;2;2;29
4;018;1;-;1;1;1;-;1;-;-;2;1;-;8
6;019;1;2;3;7;1;2;2;3;2;4;1;6;34
6;020;1;4;2;-;-;2;2;2;4;3;1;-;21
22;021;6;3;4;7;5;2;4;3;2;4;1;9;50
16;022;4;5;5;3;1;2;2;3;1;2;4;1;33
3;023;2;2;1;-;1;2;2;-;2;5;1;1;19
3;024;2;3;6;2;5;2;-;1;3;4;2;2;32
3;025;-;4;3;-;2;2;4;7;2;2;1;3;30
3;026;-;1;2;3;2;2;-;1;-;1;-;2;14
41;027;5;2;2;5;4;4;1;2;4;2;1;6;38
9;028;2;5;3;4;5;3;5;4;5;6;7;1;50
9;029;5;3;1;2;7;2;4;2;2;2;1;2;33
9;030;6;3;2;7;6;7;3;3;4;7;2;5;55
41;031;5;3;11;3;4;2;6;8;2;5;8;2;59
18;032;15;15;8;10;7;8;11;10;14;7;20;13;138
14;033;7;4;6;13;5;9;7;8;4;4;7;5;79
14;034;15;14;9;8;5;7;11;11;12;10;13;8;123
40;035;28;13;12;15;21;13;14;17;20;12;28;18;211
27;036;15;13;10;5;10;8;10;9;10;11;14;10;125
17;037;7;4;1;1;6;5;1;-;3;4;3;-;35
16;038;7;3;5;-;2;3;5;2;1;7;4;5;44
41;039;6;3;2;8;1;3;3;5;4;4;4;2;45
9;040;4;10;4;4;3;6;3;2;2;3;-;4;45
18;041;2;7;8;5;-;4;2;2;10;5;2;5;52
31;042;3;6;9;3;2;3;2;8;4;4;5;4;53
27;043;12;9;2;7;4;6;10;8;5;9;3;6;81
3;044;1;2;3;3;2;5;1;1;4;2;2;-;26
16;045;3;4;1;-;2;-;2;1;1;2;2;1;19
24;048;3;9;4;5;4;9;1;3;7;2;2;-;49
24;050;5;4;9;6;3;1;3;6;7;7;4;6;61
24;051;2;3;5;1;5;4;2;3;-;3;2;1;31
20;052;1;6;4;3;3;2;2;-;2;2;4;1;30
20;053;11;7;2;8;10;2;1;2;8;4;22;16;93
39;054;11;15;16;25;12;12;7;15;15;13;17;9;167
24;055;9;9;6;6;6;18;6;2;9;7;3;13;94
20;056;8;15;6;4;11;11;9;8;11;11;8;6;108
20;057;3;7;5;5;8;3;4;3;2;9;3;4;56
20;058;32;23;21;18;7;22;18;26;11;17;14;9;218
15;059;8;8;9;16;11;7;19;11;8;14;13;9;133
15;060;8;7;14;1;8;5;12;9;7;10;8;5;94
15;061;-;4;2;5;1;-;-;2;2;4;1;1;22
15;062;9;10;2;8;4;4;1;1;6;4;2;3;54
24;063;4;-;10;6;2;1;12;5;3;6;5;4;58
21;064;7;13;17;16;15;11;15;12;18;9;12;9;154
34;065;1;6;6;2;5;4;8;3;3;1;5;4;48
34;066;4;7;5;15;3;7;9;5;4;5;4;3;71
34;067;2;5;2;4;2;2;1;2;2;-;-;2;24
35;070;1;1;-;-;-;1;-;-;1;-;1;1;6
35;071;9;12;9;9;11;7;10;11;2;7;9;8;104
7;072;7;12;4;5;6;2;9;3;4;7;9;9;77
7;073;3;6;10;4;3;2;12;6;4;6;3;-;59
7;074;12;10;14;11;10;8;7;7;14;3;7;7;110
7;075;10;10;4;3;7;6;2;4;4;3;4;9;66
12;076;2;7;5;1;2;3;2;5;6;6;4;5;48
12;077;2;6;1;2;2;1;-;-;2;-;2;3;21
12;078;6;3;2;3;6;1;1;10;5;4;3;3;47
12;079;1;-;2;3;3;1;2;3;2;-;2;2;21
12;081;2;4;3;1;2;3;3;2;1;1;4;5;31
12;082;2;2;9;4;8;3;6;6;7;7;4;7;65
10;087;-;-;-;-;-;-;-;-;-;-;-;-;-
10;088;5;1;3;1;7;1;3;2;7;7;5;1;43
37;089;5;5;-;6;6;4;3;2;6;5;2;6;50
28;090;4;6;2;-;4;3;3;-;7;2;5;3;39
10;091;-;1;-;1;1;4;-;3;3;2;3;2;20
10;092;-;-;-;1;-;-;-;-;1;1;-;1;4
28;093;6;10;9;8;2;11;4;4;3;8;5;4;74
10;094;1;1;2;-;2;-;-;-;2;1;-;3;12
10;095;2;2;1;1;2;-;-;3;2;-;-;3;16
10;096;1;4;2;2;1;4;5;2;11;1;6;2;41
10;097;-;1;2;-;-;-;-;4;-;-;-;-;7
10;098;-;-;-;-;-;-;1;2;-;-;-;1;4
37;099;3;1;4;-;2;1;1;-;-;1;-;-;13
37;100;1;2;-;2;-;-;-;-;1;-;-;-;6
28;101;2;1;-;1;2;-;2;-;-;-;-;3;11
30;104;-;-;1;-;1;-;-;-;1;-;-;-;3
26;105;3;4;3;1;4;3;4;4;3;16;5;2;52
26;106;3;1;3;1;1;2;3;-;4;2;4;2;26
38;107;2;1;1;1;-;-;-;1;1;-;1;1;9
38;108;5;3;2;2;3;1;-;2;2;5;4;5;34
38;109;-;2;-;-;1;1;2;-;1;1;1;3;12
30;110;2;2;3;4;5;5;7;9;3;4;3;8;55
30;111;-;1;1;2;-;1;-;-;-;2;1;-;8
30;112;1;1;-;1;-;1;3;-;-;-;1;-;8
25;118;7;7;5;3;-;3;4;4;1;4;2;4;44
35;119;-;2;2;2;2;-;1;2;2;4;-;-;17
35;120;1;-;2;-;-;-;1;-;1;-;-;-;5
32;121;-;1;3;2;1;3;-;2;1;-;-;-;13
32;122;1;-;-;1;3;-;2;2;-;-;-;1;10
32;123;26;14;4;7;3;7;5;12;3;6;12;9;108
25;124;6;5;4;1;2;1;6;7;4;2;1;4;43
25;125;4;5;-;3;4;4;1;1;1;5;4;1;33
25;126;9;8;8;26;26;12;6;8;7;7;10;4;131
25;127;6;1;-;2;2;1;-;1;3;-;3;-;19
