AISP;DP;UP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;Praça Mauá;997;809;474;359;375;358;385;753;407;354;357;407;6035
5;004;Praça da República;1286;1331;958;877;936;892;917;949;1019;1015;975;1023;12178 
5;005;Mem de Sá;1241;1690;1252;1167;1227;1048;1243;1116;1247;1237;1168;1299;14935 
4;006;Cidade Nova;463;646;514;509;543;510;528;387;455;542;517;546;6160 
5;007;Santa Tereza;240;408;227;204;179;180;176;156;172;186;160;180;2468 
2;009;Catete;711;858;633;645;532;503;538;526;524;626;626;938;7660 
2;010;Botafogo;656;624;688;715;718;624;612;602;636;684;604;713;7876 
23;011;Rocinha;152;124;163;124;118;110;128;127;99;116;103;123;1487 
19;012;Copacabana;1768;1001;940;778;814;680;702;769;745;755;774;973;10699 
19;013;Ipanema;533;621;451;421;366;359;327;365;417;422;426;490;5198 
23;014;Leblon;964;1870;676;657;634;634;605;640;638;567;564;946;9395 
23;015;Gávea;370;399;323;269;345;325;340;332;364;315;283;360;4025 
31;016;Barra da Tijuca;1485;1068;1212;1104;1066;1064;1103;1134;1138;1035;1053;1192;13654 
4;017;São Cristóvão;672;705;791;682;773;741;719;729;674;747;705;727;8665 
4;018;Praça da Bandeira;521;455;633;564;650;666;652;629;564;604;515;543;6996 
6;019;Tijuca;709;654;738;645;776;731;701;650;638;656;647;751;8296 
6;020;Grajaú;588;520;620;530;574;534;551;527;517;547;522;573;6603 
22;021;Bonsucesso;1316;1054;1158;1035;1319;1203;1274;1246;1169;1155;1156;1197;14282 
16;022;Penha;730;675;825;767;791;646;753;690;680;777;849;791;8974 
3;023;Meier;758;713;744;672;677;612;623;633;668;679;682;725;8186 
3;024;Piedade;498;445;510;465;464;478;432;451;462;492;494;496;5687 
3;025;Engenho Novo;935;829;762;656;702;620;664;630;642;673;623;611;8347 
3;026;Todos os Santos;468;441;508;496;446;395;482;443;427;423;443;602;5574 
41;027;Vicente de Carvalho;901;794;923;847;892;837;826;737;730;836;804;941;10068 
9;028;Campinho;803;707;742;710;732;724;800;678;723;779;762;885;9045 
9;029;Madureira;883;846;932;802;916;907;866;939;915;969;862;1116;10953 
9;030;Marechal Hermes;579;583;621;583;620;597;515;503;520;523;492;497;6633 
41;031;Ricardo Albuquerque;721;709;706;659;648;579;632;681;580;629;633;708;7885 
18;032;Taquara;1501;1281;1547;1404;1399;1249;1337;1331;1331;1391;1327;1407;16505 
14;033;Realengo;1151;1012;1223;1048;1019;938;946;989;984;1055;986;963;12314 
14;034;Bangu;1859;1664;1885;1717;1591;1432;1540;1606;1533;1614;1512;1589;19542 
40;035;Campo Grande;1953;1752;2053;1884;1884;1887;1907;1834;1783;1924;1870;1974;22705 
27;036;Santa Cruz;932;848;1067;934;960;991;868;927;839;941;978;998;11283 
17;037;Ilha do Governador;813;785;836;741;894;706;737;680;701;790;695;763;9141 
16;038;Braz de Pina;771;679;769;755;721;727;739;730;639;770;730;739;8769 
41;039;Pavuna;1049;818;1031;874;900;839;934;938;982;896;878;858;10997 
9;040;Honório Gurgel;699;658;675;677;703;655;724;655;645;768;730;729;8318 
18;041;Tanque;595;496;564;507;529;492;530;469;490;486;494;511;6163 
31;042;Recreio;995;797;881;772;766;698;722;702;2165;823;744;814;10879 
27;043;Pedra de Guaratiba;527;473;595;488;465;438;422;394;411;478;461;521;5673 
3;044;Inhaúma;581;452;553;536;541;557;582;564;579;535;611;614;6705 
16;045;Alemão;153;103;177;103;98;95;135;112;93;106;104;94;1373 
24;048;Seropédica;263;225;254;226;224;218;255;257;254;226;216;241;2859 
24;050;Itaguaí;582;422;537;448;489;491;536;573;526;475;470;503;6052 
24;051;Paracambí;169;144;183;134;152;143;131;127;111;139;143;160;1736 
20;052;Nova Iguaçu;914;780;1036;933;1063;1057;923;946;917;937;1034;1065;11605 
20;053;Mesquita;741;680;816;906;810;710;746;743;741;695;729;740;9057 
39;054;Belford Roxo;1301;999;1190;1063;1136;950;943;1027;1021;1077;1058;1078;12843 
24;055;Queimados;547;477;543;444;490;469;470;531;488;545;492;517;6013 
20;056;Comendador Soares;1004;787;953;1103;998;839;770;846;851;819;917;922;10809 
20;057;Nilópolis;735;786;730;693;759;684;750;731;646;642;764;765;8685 
20;058;Posse;1298;1113;1265;1131;1079;1065;1052;1113;1073;1162;1160;1190;13701 
15;059;Duque de Caxias;1828;1514;1844;1726;1763;1736;1834;1817;1770;1776;1913;1969;21490 
15;060;Campos Elíseos;737;656;778;649;711;726;775;725;741;770;706;764;8738 
15;061;Xerém;217;172;233;177;208;202;186;186;180;223;159;162;2305 
15;062;Imbariê;569;454;498;483;433;418;486;417;474;415;448;448;5543 
24;063;Japerí;374;288;395;462;376;351;365;311;340;354;367;383;4366 
21;064;Vilar dos Teles;1901;1605;1768;1647;1641;1656;1639;1567;1558;1656;1667;1696;20001 
34;065;Magé;336;248;271;265;263;259;255;253;243;340;311;283;3327 
34;066;Piabetá;439;414;408;366;370;351;410;425;377;397;428;418;4803 
34;067;Guapimirim;181;169;185;143;163;145;159;159;152;172;179;173;1980 
35;070;Tanguá;72;76;54;51;59;50;77;76;72;68;85;83;823 
35;071;Itaboraí;810;599;690;681;661;617;631;707;649;691;709;696;8141 
7;072;São Gonçalo;1205;984;1188;993;1012;907;1028;995;992;1082;1039;1039;12464 
7;073;Neves;856;766;797;755;862;706;838;820;734;884;735;773;9526 
7;074;Alcantara;1394;1176;1372;1247;1256;1063;1193;1140;1098;1179;1176;1251;14545 
7;075;Rio do Ouro;684;512;614;435;502;445;552;514;526;495;503;518;6300 
12;076;Niterói - Centro;752;729;912;787;797;720;777;751;717;823;783;801;9349 
12;077;Icaraí;564;496;597;491;500;468;527;480;484;490;448;526;6071 
12;078;Fonseca;571;502;549;520;549;516;460;471;529;483;473;508;6131 
12;079;Jurujuba;300;275;324;266;284;263;285;280;286;264;255;265;3347 
12;081;Itaipú;474;364;412;355;343;303;372;325;327;288;272;346;4181 
12;082;Maricá;664;629;700;480;597;563;587;604;546;526;564;558;7018 
10;087;Paty de Alferes (a inaugurar);-;-;-;-;-;-;-;-;-;-;-;-;-   
