AISP;DP;UP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
10;088;Barra do Piraí;266;264;256;263;221;220;217;257;185;228;225;215;2817 
37;089;Resende;431;377;460;435;454;407;425;443;452;397;452;428;5161 
28;090;Barra Mansa;381;397;491;426;425;419;509;467;382;479;417;477;5270 
10;091;Valença;155;181;163;152;146;150;136;169;131;138;157;150;1828 
10;092;Rio das Flores;21;16;30;20;24;15;18;24;29;22;31;18;268 
28;093;Volta Redonda;671;570;801;735;690;700;770;775;759;727;737;791;8726 
10;094;Piraí;145;83;98;82;96;96;100;93;77;108;81;87;1146 
10;095;Vassouras;89;80;79;89;97;86;90;74;59;127;93;78;1041 
10;096;Miguel Pereira;143;140;149;114;140;157;144;153;119;135;150;157;1701 
10;097;Mendes;33;38;51;39;59;53;60;47;39;35;33;44;531 
10;098;Paulo de Frontin;33;38;33;40;59;46;50;48;40;47;34;46;514 
37;099;Itatiaia;242;213;225;120;143;119;236;226;263;217;207;171;2382 
37;100;Porto Real;71;67;83;84;55;89;79;80;89;94;102;76;969 
28;101;Pinheiral;84;69;70;68;70;71;65;55;55;62;74;68;811 
30;104;São J. Rio Preto;27;38;30;34;40;28;52;34;47;45;38;40;453 
26;105;Petrópolis;573;503;579;643;605;559;627;612;618;671;666;669;7325 
26;106;Itaipava;173;156;185;170;205;173;187;168;189;156;178;184;2124 
38;107;Paraíba do Sul;85;94;101;109;98;152;115;116;90;121;88;98;1267 
38;108;Três Rios;371;356;413;378;361;366;410;365;347;408;414;377;4566 
38;109;Sapucaia;51;46;51;57;40;52;45;57;72;63;59;41;634 
30;110;Teresópolis;483;491;560;524;548;540;567;583;585;626;670;701;6878 
30;111;Sumidouro;22;31;35;28;30;25;31;29;40;34;31;42;378 
30;112;Carmo;55;56;58;61;46;57;83;63;77;79;69;69;773 
25;118;Araruama;417;469;437;347;383;460;463;416;396;423;425;410;5046 
35;119;Rio Bonito;180;169;202;178;179;168;152;149;151;158;153;154;1993 
35;120;Silva Jardim;69;70;70;59;61;56;78;61;49;54;57;61;745 
32;121;Casimiro de Abreu;152;165;140;139;115;113;100;100;116;108;88;111;1447 
32;122;Conceição de Macabú;41;60;51;50;64;56;46;49;61;44;52;43;617 
32;123;Macaé;846;796;911;886;737;654;738;770;805;750;694;833;9420 
25;124;Saquarema;374;317;316;328;306;271;212;263;297;265;285;309;3543 
25;125;São Pedro da Aldeia;304;274;304;250;199;229;228;282;259;298;275;274;3176 
25;126;Cabo Frio;1085;1016;882;736;779;780;816;731;642;767;741;777;9752 
25;127;Búzios;338;290;239;243;184;196;204;183;230;251;227;258;2843 
32;128;Rio das Ostras;651;626;607;641;509;530;509;503;495;542;564;640;6817 
25;129;Iguaba;104;107;84;98;74;86;95;94;106;84;93;81;1106 
32;130;Quissamã;93;68;76;76;96;77;57;53;70;71;93;79;909 
25;132;Arraial do Cabo;155;121;120;149;120;93;108;111;121;116;128;144;1486 
8;134;Campos;871;716;893;898;895;906;944;874;840;863;822;883;10405 
36;135;Itaocara;96;78;63;74;83;74;70;75;77;66;81;68;905 
36;136;Santo Antonio de Pádua;172;156;156;159;171;141;174;195;166;190;158;171;2009 
36;137;Miracema;100;93;91;91;150;96;101;77;78;97;83;57;1114 
29;138;Lajes de Muriaré;30;24;19;22;21;25;28;14;20;20;22;43;288 
29;139;Porciúncula;79;78;68;71;61;66;60;84;67;77;83;93;887 
29;140;Natividade;53;64;60;64;59;72;73;70;57;60;52;50;734 
8;141;São Fidelis;77;66;97;96;99;76;91;101;76;111;62;68;1020 
36;142;Cambucí;42;39;45;31;43;33;35;29;39;33;35;42;446 
29;143;Itaperuna;319;331;360;318;318;292;334;320;326;328;295;296;3837 
29;144;Bom Jesus Itabapoana;125;99;122;110;95;104;120;108;101;131;155;114;1384 
8;145;São João da Barra;147;171;197;122;159;137;147;138;119;143;131;130;1741 
8;146;Guarus;353;318;383;349;306;395;419;380;392;414;400;391;4500 
8;147;São Francisco de Itabapoana;131;103;98;92;104;100;106;89;80;93;92;81;1169 
29;148;Italva;84;75;89;82;86;90;72;82;75;73;90;88;986 
11;151;Nova Friburgo;586;582;618;586;660;649;635;660;627;638;637;609;7487 
11;152;Duas Barras;25;34;33;29;27;28;25;31;31;32;43;27;365 
11;153;Cantagalo;51;39;44;52;63;63;62;45;65;49;49;70;652 
11;154;Cordeiro;92;79;88;69;53;62;87;91;99;76;65;67;928 
36;155;São Sebastião do Alto;15;22;21;12;15;28;31;19;15;15;36;21;250 
11;156;Santa Maria Madalena;28;26;32;25;24;30;22;23;24;32;16;29;311 
11;157;Trajano de Morais;16;19;23;31;29;21;23;35;13;33;37;17;297 
11;158;Bom Jardim;53;53;42;53;47;58;61;53;45;61;58;53;637 
35;159;Cachoeira de Macacú;162;163;144;170;153;145;136;151;142;159;152;188;1865 
33;165;Mangaratiba;254;247;200;146;146;140;151;177;151;141;151;162;2066 
33;166;Angra dos Reis;573;495;543;509;451;347;500;487;463;498;432;484;5782 
33;167;Paratí;208;163;203;148;193;138;167;150;170;143;143;183;2009 
33;168;Rio Claro;62;37;40;37;41;57;40;42;59;59;47;58;579 
TOTAL MENSAL;;;72227;65660;69888;63739;64863;61074;63765;63173;63327;64598;63430;67512;783256 
