AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
16;038;4;4;5;3;3;3;1;5;1;3;4;4;40
41;039;7;1;-;3;3;3;7;5;4;2;1;2;38
9;040;1;-;3;3;2;5;3;5;4;5;3;2;36
18;041;-;3;1;2;1;1;4;4;2;2;2;3;25
31;042;-;3;9;1;4;3;2;3;5;4;4;8;46
27;043;8;8;14;20;14;12;4;5;8;8;7;13;121
3;044;1;-;1;-;-;-;1;1;2;1;1;2;10
16;045;2;1;-;3;1;2;-;-;-;1;-;1;11
24;048;3;2;6;1;4;1;4;5;1;1;-;-;28
24;050;7;4;6;3;-;4;4;2;4;2;3;6;45
24;051;1;3;1;-;1;1;2;1;3;-;-;2;15
20;052;7;5;2;4;1;6;3;9;2;3;2;2;46
20;053;5;4;4;2;8;2;4;8;5;2;6;6;56
39;054;24;3;16;6;7;8;13;15;12;13;12;9;138
24;055;5;4;7;11;4;6;3;8;2;7;-;7;64
20;056;15;3;12;10;11;5;10;11;10;11;6;11;115
20;057;6;3;3;3;2;7;1;1;3;5;7;1;42
20;058;20;14;23;11;12;14;9;5;16;7;18;17;166
15;059;12;7;11;12;8;8;10;7;9;11;8;8;111
15;060;9;8;7;6;3;7;2;7;6;7;8;5;75
15;061;3;1;3;-;3;-;1;-;3;4;-;2;20
15;062;7;5;2;1;4;6;2;5;5;4;4;4;49
24;063;4;6;3;7;4;2;2;1;7;5;3;4;48
21;064;15;10;18;12;11;10;13;12;7;8;10;6;132
34;065;2;2;1;5;-;-;-;3;1;5;1;3;23
34;066;7;2;6;9;4;4;8;7;6;6;5;3;67
34;067;2;3;1;1;1;2;3;2;4;-;2;-;21
35;070;1;2;-;1;1;-;1;2;-;2;1;-;11
35;071;6;6;7;6;9;15;12;7;7;6;8;13;102
7;072;8;7;5;-;3;6;9;4;8;7;5;10;72
7;073;8;3;6;5;4;5;2;8;2;1;2;-;46
7;074;11;5;3;7;6;9;10;10;6;5;6;5;83
7;075;2;7;6;2;7;2;3;3;4;4;2;1;43
12;076;7;4;3;3;5;1;4;3;1;-;3;3;37
12;077;3;-;2;1;2;1;2;3;3;2;1;4;24
12;078;2;3;3;2;5;2;4;3;3;-;-;2;29
12;079;3;1;3;-;-;3;5;2;1;2;-;-;20
12;081;1;3;5;4;1;1;2;4;2;-;5;-;28
12;082;4;8;5;3;5;3;4;5;6;3;6;5;57
10;087;-;-;-;-;-;-;-;-;-;-;-;-;-
10;088;3;2;1;4;-;3;2;2;-;6;4;-;27
37;089;2;3;5;-;1;2;6;4;3;5;7;3;41
28;090;4;4;6;2;2;-;4;2;1;6;3;1;35
10;091;5;1;-;1;3;-;3;2;-;3;1;2;21
10;092;-;-;1;-;1;-;-;-;-;-;1;-;3
28;093;3;2;8;4;2;4;8;5;4;9;10;6;65
10;094;2;-;1;1;1;1;2;-;1;2;2;1;14
10;095;1;-;3;3;-;1;1;6;3;1;1;-;20
10;096;1;-;-;2;-;-;8;1;2;1;1;2;18
10;097;1;1;5;-;1;-;1;-;2;-;-;1;12
10;098;-;-;-;1;1;1;1;1;-;2;-;-;7
37;099;1;1;-;1;2;-;-;-;-;-;1;1;7
37;100;2;1;-;-;-;2;-;2;1;-;-;-;8
28;101;-;-;-;3;-;-;-;-;-;-;-;1;4
30;104;-;-;-;-;-;-;1;-;-;1;-;-;2
26;105;6;4;1;4;9;9;5;4;1;3;7;9;62
26;106;3;2;-;6;3;1;2;3;-;2;-;3;25
38;107;1;1;2;-;-;3;-;1;2;3;2;2;17
38;108;7;7;1;4;2;8;1;5;7;2;5;5;54
38;109;-;-;-;2;2;-;-;1;2;-;-;-;7
30;110;6;4;9;3;5;5;6;2;7;4;7;9;67
30;111;-;-;1;1;2;-;-;-;-;1;1;1;7
30;112;-;1;1;-;-;2;-;-;-;1;1;-;6
25;118;2;4;6;2;-;2;5;8;1;3;4;6;43
35;119;3;1;-;-;5;2;1;2;1;2;1;3;21
35;120;1;1;-;-;1;2;2;1;2;-;-;-;10
32;121;-;-;2;-;1;-;1;1;4;-;-;-;9
32;122;2;-;-;-;1;-;-;-;-;-;-;-;3
32;123;6;8;1;4;2;3;4;4;4;4;2;4;46
25;124;2;-;2;3;-;-;1;1;1;3;2;6;21
25;125;3;2;2;2;1;1;1;5;4;5;5;7;38
25;126;9;5;6;5;3;4;8;3;5;6;12;8;74
25;127;1;-;1;1;3;2;-;2;2;2;-;1;15
32;128;7;4;2;11;2;8;1;3;3;4;6;2;53
25;129;-;-;1;1;-;2;-;1;-;1;2;-;8
32;130;3;5;3;1;2;1;1;1;-;-;-;2;19
25;132;4;-;1;2;1;-;2;-;1;4;2;1;18
8;134;12;7;7;10;6;10;12;10;9;10;13;10;116
36;135;1;1;1;1;1;1;-;1;1;-;-;-;8
36;136;1;-;-;-;-;-;-;1;1;2;-;1;6
36;137;-;-;1;1;1;1;1;1;-;1;1;-;8
29;138;-;-;-;-;-;1;-;-;-;-;-;-;1
29;139;-;1;-;2;-;2;-;2;-;3;1;2;13
29;140;-;-;1;-;2;-;3;-;-;1;1;-;8
8;141;-;-;-;-;3;1;-;-;-;-;1;1;6
36;142;-;-;-;-;-;-;-;-;-;-;-;-;-
29;143;2;1;1;6;3;-;2;2;1;2;3;5;28
29;144;-;-;4;1;6;-;2;-;-;-;1;-;14
8;145;3;-;2;-;-;-;-;2;-;1;1;-;9
8;146;6;4;9;8;2;11;4;5;3;5;6;2;65
8;147;3;1;1;-;-;1;2;-;1;4;1;2;16
29;148;-;1;-;-;1;-;-;3;-;-;1;2;8
11;151;2;6;1;5;3;2;7;3;4;5;8;6;52
11;152;-;1;1;-;-;1;2;1;1;1;-;1;9
11;153;-;-;2;1;1;1;2;-;-;1;-;1;9
11;154;2;1;1;-;1;3;1;-;-;-;-;1;10
36;155;-;-;-;-;-;-;-;-;-;-;-;-;-
11;156;4;-;1;-;1;-;-;-;-;-;-;-;6
11;157;1;-;-;1;-;-;1;-;-;-;1;1;5
11;158;-;-;-;-;1;-;3;-;-;-;1;-;5
35;159;-;-;3;4;1;3;-;1;-;1;1;1;15
33;165;3;2;1;1;1;4;3;1;3;1;4;6;30
33;166;5;5;5;6;4;5;9;15;11;3;8;7;83
33;167;2;2;1;1;3;4;3;1;3;1;1;1;23
33;168;-;-;-;-;-;2;-;-;1;1;-;-;4
