AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;-;-;-;-;-;-;-;1;-;-;1;-;2
5;004;1;1;3;1;2;-;1;-;2;2;1;2;16
5;005;1;2;1;2;1;-;3;3;1;1;1;2;18
4;006;1;-;3;1;2;1;1;3;1;1;2;-;16
5;007;1;1;-;-;2;1;-;-;-;1;2;2;10
2;009;1;5;1;3;2;-;4;1;-;1;-;2;20
2;010;1;2;1;3;-;1;6;2;4;1;1;2;24
23;011;1;-;-;1;1;-;1;-;2;1;-;2;9
19;012;4;4;2;2;1;2;-;3;2;-;1;-;21
19;013;-;-;1;-;2;-;1;-;-;-;-;-;4
23;014;1;-;2;-;2;-;-;1;1;-;-;1;8
23;015;1;1;-;2;2;1;1;5;-;-;-;1;14
31;016;3;1;4;2;-;-;3;3;1;4;5;2;28
4;017;2;1;-;-;3;1;1;2;4;2;1;3;20
4;018;-;1;-;-;-;-;1;1;-;1;1;-;5
6;019;2;2;4;2;1;1;4;2;1;-;1;2;22
6;020;2;8;3;1;11;3;1;3;1;3;-;-;36
22;021;7;2;1;4;4;3;7;6;5;4;7;8;58
16;022;2;1;5;1;2;7;4;1;3;2;2;1;31
3;023;1;1;1;1;1;1;-;4;1;-;2;-;13
3;024;1;-;2;-;-;3;1;1;2;1;2;4;17
3;025;4;3;2;-;1;-;5;1;6;3;2;2;29
3;026;-;-;1;3;-;1;-;-;1;2;2;3;13
41;027;1;-;4;7;1;-;3;-;1;-;4;-;21
9;028;-;1;2;4;2;4;2;6;7;1;5;6;40
9;029;3;-;3;8;4;8;1;2;2;2;3;3;39
9;030;3;5;1;-;-;3;2;5;3;5;2;1;30
41;031;4;5;2;7;1;3;2;1;3;2;2;1;33
18;032;12;6;16;7;13;12;12;12;8;16;11;8;133
14;033;10;4;4;9;3;2;3;2;5;5;3;8;58
14;034;14;4;14;10;6;10;9;13;7;4;10;7;108
40;035;16;19;19;31;14;21;23;15;16;17;13;19;223
27;036;7;5;8;11;4;5;11;20;17;10;13;9;120
17;037;7;6;1;2;2;3;5;4;3;3;5;3;44
