AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;1;-;-;1;-;-;1;-;-;-;1;-;4
5;004;5;1;2;-;1;3;1;2;2;3;-;2;22
5;005;-;1;2;1;1;10;2;3;1;4;5;2;32
4;006;4;-;-;2;2;4;5;2;2;2;1;-;24
5;007;-;1;3;1;3;-;-;-;1;-;-;-;9
2;009;-;-;-;2;1;1;1;6;2;1;3;1;18
2;010;2;2;1;3;-;2;-;2;2;1;2;1;18
23;011;-;-;-;-;-;-;-;-;-;-;-;2;2
19;012;1;2;3;1;2;4;2;-;2;2;-;3;22
19;013;-;1;-;1;2;-;1;1;-;2;-;-;8
23;014;2;2;-;1;3;-;1;1;-;-;1;-;11
23;015;2;2;-;4;2;2;5;1;4;2;3;2;29
31;016;1;3;1;3;8;7;2;-;5;9;2;5;46
4;017;3;-;3;2;7;6;4;5;7;3;1;1;42
4;018;-;1;-;1;2;-;1;1;1;1;1;1;10
6;019;2;-;3;-;4;4;3;2;3;-;4;-;25
6;020;1;-;-;4;2;5;1;1;1;4;-;1;20
22;021;8;12;5;6;7;8;8;9;4;12;15;2;96
16;022;5;3;4;4;3;4;4;10;7;5;3;2;54
3;023;-;1;1;-;1;-;3;-;-;-;6;6;18
3;024;2;3;3;1;2;3;-;5;2;3;2;4;30
3;025;4;5;4;3;7;5;2;1;4;1;1;3;40
3;026;4;1;2;2;-;1;1;1;-;2;2;2;18
41;027;3;3;-;3;3;4;5;1;2;-;3;3;30
9;028;2;8;6;5;7;4;3;6;6;3;3;3;56
9;029;3;-;1;4;1;5;4;4;2;4;2;1;31
9;030;2;3;4;4;4;3;7;1;2;4;1;1;36
41;031;1;3;1;5;3;2;2;4;4;1;3;6;35
18;032;10;14;14;11;16;11;8;13;21;14;8;15;155
14;033;13;8;5;5;6;9;6;7;8;7;10;5;89
14;034;8;10;11;7;15;8;13;11;14;10;7;7;121
40;035;23;15;18;23;32;26;12;19;24;29;15;10;246
27;036;19;16;17;22;13;6;13;14;7;19;11;8;165
17;037;3;4;4;5;4;9;5;4;3;1;5;-;47
16;038;5;8;12;3;6;3;7;4;7;5;3;3;66
41;039;-;7;2;2;2;4;4;3;7;2;5;4;42
9;040;3;-;2;4;2;2;2;-;1;1;3;2;22
18;041;1;4;3;5;3;-;1;4;1;1;-;3;26
31;042;1;10;4;2;6;4;4;1;3;5;2;3;45
27;043;9;3;9;6;7;7;4;11;13;7;9;5;90
3;044;1;-;1;2;1;-;1;2;2;4;2;2;18
16;045;-;-;-;-;-;-;-;-;-;-;-;2;2
24;048;2;2;3;3;-;1;4;-;1;4;5;3;28
24;050;3;5;6;8;1;5;4;1;5;5;2;4;49
24;051;-;1;1;2;1;2;1;1;-;3;-;3;15
20;052;4;4;3;7;4;3;2;5;4;1;-;7;44
20;053;9;9;7;7;2;1;7;4;1;6;4;3;60
39;054;19;11;20;14;11;16;10;18;15;9;14;12;169
24;055;12;12;5;4;4;9;11;4;8;9;3;6;87
20;056;9;14;14;8;11;16;13;3;11;12;7;7;125
20;057;7;8;8;4;8;13;9;2;3;3;4;2;71
20;058;10;13;16;17;15;9;17;9;16;15;9;14;160
15;059;10;17;18;9;9;6;10;8;17;7;11;8;130
15;060;10;15;8;7;7;8;11;7;5;17;9;5;109
15;061;5;2;2;1;2;1;3;4;-;2;-;4;26
15;062;4;4;8;6;4;3;6;3;5;10;6;7;66
24;063;4;1;3;4;3;3;4;2;4;6;7;3;44
21;064;15;20;13;25;11;9;9;20;9;12;12;13;168
34;065;5;3;4;6;2;4;3;4;4;2;5;2;44
34;066;5;5;7;10;7;5;3;5;8;7;5;5;72
34;067;2;2;1;2;1;1;1;2;-;3;2;3;20
35;070;2;3;1;-;3;2;-;2;3;7;1;1;25
35;071;3;6;10;7;6;8;9;5;11;7;14;15;101
7;072;12;8;9;7;8;15;6;10;7;8;1;6;97
7;073;1;3;6;8;2;2;3;3;3;3;5;3;42
7;074;9;8;9;13;11;4;20;8;13;9;7;8;119
