AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
7;075;5;3;3;10;5;4;7;5;4;2;6;2;56
12;076;-;2;1;5;1;2;4;3;3;-;1;4;26
12;077;1;-;2;5;1;3;-;1;-;4;7;1;25
12;078;6;3;1;1;2;2;1;4;4;1;4;4;33
12;079;1;-;1;6;3;2;2;1;2;3;3;1;25
12;081;3;3;4;3;1;3;3;2;2;1;4;-;29
12;082;8;6;7;7;2;7;7;6;6;3;15;10;84
10;087;-;-;-;-;-;-;-;-;-;-;-;-;-
10;088;1;3;-;2;-;3;1;1;-;1;2;3;17
37;089;11;8;11;2;2;3;2;2;2;1;7;4;55
28;090;5;4;-;7;3;5;3;3;5;-;6;4;45
10;091;7;1;4;5;4;3;4;3;3;-;4;2;40
10;092;2;-;-;-;-;-;1;1;-;-;-;-;4
28;093;12;7;5;6;12;4;6;10;4;9;1;6;82
10;094;-;-;2;-;3;-;1;1;1;3;-;-;11
10;095;-;1;1;3;2;-;-;-;2;2;3;-;14
10;096;3;4;1;-;3;-;2;9;-;4;2;2;30
10;097;2;-;-;1;-;1;-;-;-;1;1;-;6
10;098;3;3;1;1;2;-;2;-;1;-;1;-;14
37;099;3;2;1;-;-;1;-;-;2;1;1;-;11
37;100;1;-;1;-;1;-;2;1;-;1;1;1;9
28;101;1;-;1;1;-;-;3;1;2;1;4;-;14
30;104;-;-;1;1;-;4;-;2;-;1;-;-;9
26;105;7;5;5;4;7;7;6;7;13;9;8;3;81
26;106;3;2;2;2;4;3;3;3;1;3;-;-;26
38;107;1;2;2;6;1;1;3;2;2;4;1;1;26
38;108;2;6;2;1;4;1;1;1;1;-;5;1;25
38;109;-;1;-;-;1;1;1;-;-;1;-;-;5
30;110;4;6;-;5;3;3;4;3;3;6;2;5;44
30;111;-;-;1;-;-;1;3;-;1;-;1;-;7
30;112;-;-;-;1;-;-;-;-;1;-;-;-;2
25;118;4;8;2;7;1;6;7;4;3;5;6;5;58
35;119;-;1;1;3;-;2;2;2;2;3;2;-;18
35;120;-;2;-;1;2;1;-;1;2;-;-;1;10
32;121;1;-;-;3;3;-;1;1;3;2;1;2;17
32;122;-;1;1;-;-;1;-;-;-;-;1;-;4
32;123;9;8;11;11;9;3;5;9;7;15;7;4;98
25;124;9;7;6;2;-;9;2;-;2;5;-;2;44
25;125;-;2;3;4;1;5;3;6;7;-;2;2;35
25;126;9;7;4;9;6;8;2;10;9;5;4;3;76
25;127;5;-;2;3;1;1;1;-;2;4;3;2;24
32;128;5;5;4;4;3;5;6;9;5;6;6;5;63
25;129;-;-;1;1;1;-;-;1;-;-;2;3;9
32;130;-;-;-;2;2;3;3;1;-;-;1;1;13
25;132;8;3;3;3;-;1;1;2;-;1;-;-;22
8;134;15;11;10;7;8;10;9;6;18;25;10;10;139
36;135;1;-;-;-;1;-;-;-;1;-;-;1;4
36;136;2;1;2;1;1;-;-;1;4;2;3;-;17
36;137;-;1;-;-;-;-;2;-;2;-;-;-;5
29;138;-;-;-;-;-;-;1;2;-;-;-;-;3
29;139;4;1;-;-;-;1;2;-;-;-;1;-;9
29;140;1;2;2;2;1;1;-;-;-;1;3;4;17
8;141;-;2;-;1;-;1;2;-;2;-;-;-;8
36;142;1;1;2;-;1;-;-;-;-;1;-;2;8
29;143;1;3;6;6;2;5;3;1;5;2;8;-;42
29;144;1;3;-;2;1;1;-;1;4;4;4;1;22
8;145;2;2;8;2;2;6;4;2;3;-;3;1;35
8;146;20;18;14;5;16;7;13;5;8;17;12;12;147
8;147;-;2;2;7;3;-;2;3;5;2;2;1;29
29;148;-;1;1;3;1;-;2;1;-;-;2;1;12
11;151;2;6;11;9;6;5;9;7;3;3;2;5;68
11;152;-;-;1;-;-;1;-;-;-;-;-;2;4
11;153;1;-;-;-;1;1;-;1;-;-;1;-;5
11;154;-;-;-;2;-;-;1;-;-;2;3;-;8
36;155;-;1;-;-;-;-;-;-;-;1;-;1;3
11;156;-;-;-;1;2;1;-;-;3;-;-;-;7
11;157;-;-;-;1;-;-;-;-;-;-;-;2;3
11;158;-;3;-;1;-;-;-;1;-;-;-;-;5
35;159;-;1;8;2;3;3;1;4;3;4;-;1;30
33;165;3;3;1;4;2;-;1;1;2;1;3;1;22
33;166;1;-;8;9;10;3;5;9;6;2;5;12;70
33;167;1;1;1;2;-;6;3;2;3;4;2;-;25
33;168;-;-;-;-;1;-;-;-;-;-;-;-;1
