AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
30;111;31;25;36;20;16;27;33;25;33;31;24;34;335
30;112;74;61;75;56;56;76;78;58;73;83;61;54;805
25;118;492;421;433;435;451;406;484;441;420;389;369;414;5155
35;119;122;125;156;133;153;149;142;138;136;177;158;141;1730
35;120;60;54;68;51;62;52;56;44;52;72;34;49;654
32;121;102;142;122;139;139;144;124;139;128;140;97;108;1524
32;122;53;52;50;43;62;52;30;49;48;47;43;51;580
32;123;993;849;937;820;829;709;802;733;795;771;715;756;9709
25;124;269;280;242;224;269;274;293;269;260;256;240;274;3150
25;125;253;232;265;223;242;226;284;253;265;244;237;283;3007
25;126;851;912;788;866;805;655;679;669;686;685;631;650;8877
25;127;326;271;258;225;198;247;218;203;183;194;199;223;2745
32;128;639;634;648;585;563;526;590;499;557;586;524;514;6865
25;129;87;97;76;94;85;88;149;133;113;87;79;75;1163
32;130;90;89;90;75;85;70;80;92;80;93;81;70;995
25;132;170;159;118;117;147;139;142;145;144;113;119;148;1661
8;134;768;701;896;794;849;808;981;877;826;938;753;902;10093
36;135;62;78;83;68;86;60;67;73;89;90;77;78;911
36;136;139;168;142;167;153;141;152;119;147;171;148;165;1812
36;137;100;94;89;77;84;78;85;73;78;59;76;70;963
29;138;33;42;22;23;28;22;17;30;30;36;26;31;340
29;139;85;81;87;97;88;72;74;84;73;72;67;48;928
29;140;64;75;72;72;76;68;86;80;55;67;66;53;834
8;141;60;85;97;85;102;82;56;89;77;102;85;61;981
36;142;25;34;31;32;35;34;24;40;71;49;49;25;449
29;143;273;272;360;331;337;274;361;354;329;338;270;340;3839
29;144;92;126;121;133;118;114;130;160;179;131;108;128;1540
8;145;180;150;114;89;109;113;118;108;119;124;117;134;1475
8;146;372;359;398;404;406;362;397;389;354;439;397;359;4636
8;147;111;128;112;88;87;72;69;99;87;91;95;85;1124
29;148;71;84;78;63;54;58;80;76;109;110;70;107;960
11;151;607;627;636;528;527;538;564;539;521;575;483;564;6709
11;152;25;32;41;27;42;24;26;40;20;26;15;31;349
11;153;50;52;59;36;51;49;58;56;53;55;43;42;604
11;154;61;61;69;64;79;75;103;73;61;78;73;76;873
36;155;25;16;24;19;19;21;24;10;27;28;14;23;250
11;156;29;28;26;28;23;26;15;25;25;30;20;25;300
11;157;25;30;22;18;30;19;20;24;37;30;19;16;290
11;158;55;45;37;35;39;51;69;53;55;66;64;61;630
35;159;173;158;137;151;149;176;174;153;176;162;142;135;1886
33;165;195;231;180;125;123;143;152;152;151;125;143;167;1887
33;166;478;504;440;442;459;455;493;499;424;411;499;431;5535
33;167;204;171;146;146;157;143;183;175;204;163;172;201;2065
33;168;46;59;47;54;40;65;51;68;56;43;47;57;633
