AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
25;118;460;418;426;432;446;401;480;437;418;384;369;-;4671
35;119;114;125;150;133;152;148;136;135;135;174;158;-;1560
35;120;60;53;68;50;61;51;56;44;52;72;34;-;601
32;121;102;138;120;138;139;142;118;136;127;140;97;-;1397
32;122;51;51;49;43;61;51;30;48;48;46;43;-;521
32;123;979;836;928;811;823;703;779;725;789;746;715;-;8834
25;124;267;277;241;218;230;236;274;259;256;255;240;-;2753
25;125;252;228;264;219;242;225;276;250;262;243;237;-;2698
25;126;834;899;779;852;765;637;660;652;669;666;631;-;8044
25;127;325;271;258;223;196;247;216;203;183;194;199;-;2515
32;128;623;624;642;579;553;516;575;492;554;570;524;-;6252
25;129;87;96;75;94;84;88;147;132;112;87;79;-;1081
32;130;90;86;89;74;84;70;77;89;80;93;81;-;913
25;132;166;156;114;115;146;130;140;144;143;113;119;-;1486
8;134;762;696;892;786;838;803;961;871;820;926;753;-;9108
36;135;61;77;83;68;86;60;64;73;87;90;77;-;826
36;136;136;165;140;160;150;140;149;119;145;167;148;-;1619
36;137;98;92;85;75;84;78;84;72;76;58;76;-;878
29;138;33;41;22;23;28;18;13;30;28;35;26;-;297
29;139;81;79;84;95;88;70;71;83;71;71;67;-;860
29;140;62;73;70;72;75;68;84;79;55;66;66;-;770
8;141;59;84;97;85;100;82;56;87;77;101;85;-;913
36;142;25;34;28;31;35;31;24;40;71;48;49;-;416
29;143;272;268;352;326;334;273;348;353;327;336;270;-;3459
29;144;91;126;121;132;116;114;130;160;176;131;108;-;1405
8;145;179;147;114;89;109;113;117;108;117;124;117;-;1334
8;146;368;357;389;396;394;355;376;380;346;426;397;-;4184
8;147;111;127;111;88;87;70;63;98;86;90;95;-;1026
29;148;70;83;78;63;53;58;80;76;109;110;70;-;850
11;151;604;618;625;522;523;533;551;535;517;570;483;-;6081
11;152;25;32;41;27;42;24;25;39;20;25;15;-;315
11;153;50;52;57;36;51;48;58;55;53;55;43;-;558
11;154;60;61;67;62;77;74;102;73;60;75;73;-;784
36;155;25;16;24;19;18;20;23;10;26;28;14;-;223
11;156;29;27;25;28;23;26;14;25;25;30;20;-;272
11;157;25;28;22;18;30;19;19;24;37;30;19;-;271
11;158;55;45;37;35;39;51;64;53;55;65;64;-;563
35;159;173;158;135;151;147;176;169;150;174;161;142;-;1736
33;165;195;230;176;124;120;142;148;150;148;124;143;-;1700
33;166;472;498;433;438;455;450;472;497;421;408;499;-;5043
33;167;201;171;146;145;154;137;179;168;201;159;172;-;1833
33;168;46;58;46;54;40;63;51;68;55;43;47;-;571
