AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
5;001;-;-;-;-;-;-;-;-;-;-;-;-;-
5;004;2;3;1;-;-;-;-;-;-;-;-;-;6
5;005;2;1;2;5;-;-;-;-;-;-;-;-;10
4;006;7;4;3;2;-;-;-;-;-;-;-;-;16
5;007;-;-;2;-;-;-;-;-;-;-;-;-;2
2;009;3;1;3;2;-;-;-;-;-;-;-;-;9
2;010;3;1;2;2;-;-;-;-;-;-;-;-;8
23;011;2;3;-;1;-;-;-;-;-;-;-;-;6
19;012;3;1;2;1;-;-;-;-;-;-;-;-;7
19;013;1;1;-;-;-;-;-;-;-;-;-;-;2
23;014;-;-;-;-;-;-;-;-;-;-;-;-;-
23;015;-;2;-;1;-;-;-;-;-;-;-;-;3
31;016;3;1;2;8;-;-;-;-;-;-;-;-;14
4;017;4;1;1;2;-;-;-;-;-;-;-;-;8
4;018;1;2;1;4;-;-;-;-;-;-;-;-;8
6;019;1;2;2;1;-;-;-;-;-;-;-;-;6
6;020;3;3;3;-;-;-;-;-;-;-;-;-;9
22;021;8;4;4;4;-;-;-;-;-;-;-;-;20
16;022;5;3;1;4;-;-;-;-;-;-;-;-;13
3;023;2;1;3;-;-;-;-;-;-;-;-;-;6
3;024;2;2;-;2;-;-;-;-;-;-;-;-;6
3;025;1;1;-;2;-;-;-;-;-;-;-;-;4
3;026;3;2;4;-;-;-;-;-;-;-;-;-;9
41;027;4;1;2;1;-;-;-;-;-;-;-;-;8
9;028;8;6;2;4;-;-;-;-;-;-;-;-;20
9;029;-;2;2;1;-;-;-;-;-;-;-;-;5
9;030;2;-;6;2;-;-;-;-;-;-;-;-;10
41;031;4;2;5;4;-;-;-;-;-;-;-;-;15
18;032;10;14;8;9;-;-;-;-;-;-;-;-;41
14;033;6;3;2;3;-;-;-;-;-;-;-;-;14
14;034;5;8;10;10;-;-;-;-;-;-;-;-;33
40;035;19;9;13;12;-;-;-;-;-;-;-;-;53
27;036;10;6;9;10;-;-;-;-;-;-;-;-;35
17;037;5;1;4;2;-;-;-;-;-;-;-;-;12
16;038;7;3;3;4;-;-;-;-;-;-;-;-;17
41;039;4;2;5;2;-;-;-;-;-;-;-;-;13
9;040;7;-;2;1;-;-;-;-;-;-;-;-;10
18;041;3;-;1;3;-;-;-;-;-;-;-;-;7
31;042;5;1;1;2;-;-;-;-;-;-;-;-;9
27;043;9;5;9;4;-;-;-;-;-;-;-;-;27
3;044;-;-;4;1;-;-;-;-;-;-;-;-;5
16;045;-;1;-;-;-;-;-;-;-;-;-;-;1
24;048;1;1;5;1;-;-;-;-;-;-;-;-;8
24;050;7;-;4;2;-;-;-;-;-;-;-;-;13
24;051;-;1;-;1;-;-;-;-;-;-;-;-;2
20;052;5;5;-;3;-;-;-;-;-;-;-;-;13
20;053;5;4;4;13;-;-;-;-;-;-;-;-;26
39;054;8;7;11;9;-;-;-;-;-;-;-;-;35
24;055;2;5;5;5;-;-;-;-;-;-;-;-;17
20;056;3;6;6;3;-;-;-;-;-;-;-;-;18
20;057;9;4;3;4;-;-;-;-;-;-;-;-;20
20;058;11;13;13;17;-;-;-;-;-;-;-;-;54
15;059;10;7;10;10;-;-;-;-;-;-;-;-;37
15;060;4;4;9;4;-;-;-;-;-;-;-;-;21
15;061;3;-;-;2;-;-;-;-;-;-;-;-;5
15;062;2;-;2;1;-;-;-;-;-;-;-;-;5
24;063;6;7;1;1;-;-;-;-;-;-;-;-;15
