;; ;;;;;;;;;;;;;;;
;; ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Demonstrativo Mensal das Incidências Criminais 2016 - Estupro    ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Áreas   \   Períodos;;M         E          S          E          S;;;;;;;;;;;;TOTAL;;
;UOp;UNIDADES POLICIAIS;JAN ;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;;;
;11º BPM;154a- Cordeiro;-;-;-;-;-;1;2;1;-;-;1;-; 5 ;;
;36º BPM;155a- São Sebastião do Alto;-;-;1;-;-;-;1;-;-;-;-;-; 2 ;;
;11º BPM;156a- Santa Maria Madalena;-;-;3;-;1;1;1;1;-;-;1;-; 8 ;;
;11º BPM;157a- Trajano de Morais;-;1;-;-;1;-;-;1;-;1;-;-; 4 ;;
;11º BPM;158a- Bom Jardim;1;1;-;1;-;2;-;-;1;-;-;1; 7 ;;
;35º BPM;159a- Cachoeira de Macacú;-;-;4;3;2;-;2;1;3;3;-;2; 20 ;;
;33º BPM;165a- Mangaratiba;-;1;-;-;-;4;3;2;5;1;-;-; 16 ;;
;33º BPM;166a- Angra dos Reis;6;2;5;3;3;3;8;4;7;4;7;4; 56 ;;
;33º BPM;167a- Paratí;2;1;1;-;1;1;3;3;8;2;2;1; 25 ;;
;33º BPM;168a- Rio Claro;1;1;-;-;1;-;-;-;1;-;1;-; 5 ;;
;TOTAL MENSAL;; 407 ; 329 ; 380 ; 428 ; 371 ; 368 ; 394 ; 389 ; 428 ; 412 ; 392 ; 403 ; 4.701 ;;
;;;;;;;;;;;;;;;;;
Fonte: elaborado pelo ISP com base em informações da PCERJ;;;;;;;;;;;;;;;;;
