AISP;DP;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
12;082;576;586;607;529;482;444;489;488;515;531;572;595;6414 
10;087;-;-;-;-;-;-;-;-;-;-;-;-;- 
10;088;252;240;243;247;284;260;248;237;293;301;232;250;3087 
37;089;524;534;511;521;524;476;459;492;529;431;409;434;5844 
28;090;430;413;532;459;443;364;381;386;400;415;394;412;5029 
10;091;159;151;142;133;136;131;163;159;192;204;162;142;1874 
10;092;22;23;24;14;25;23;23;20;19;20;36;19;268 
28;093;751;733;822;747;720;764;696;710;743;633;733;723;8775 
10;094;94;89;117;78;95;84;78;86;101;113;107;121;1163 
10;095;90;94;95;89;91;81;70;86;105;75;104;86;1066 
10;096;114;137;132;133;124;169;168;162;195;169;163;138;1804 
10;097;54;55;67;59;57;39;47;43;43;37;43;64;608 
10;098;37;47;53;36;28;35;37;55;43;43;40;28;482 
37;099;282;235;243;223;290;217;220;278;293;277;273;228;3059 
37;100;88;92;100;95;82;68;83;84;65;67;65;62;951 
28;101;96;112;108;103;71;94;84;84;80;83;75;77;1067 
30;104;38;54;47;28;32;20;27;22;33;32;42;42;417 
26;105;564;578;546;503;578;518;477;558;555;624;581;557;6639 
26;106;134;171;164;129;168;155;169;155;176;177;179;184;1961 
38;107;116;147;143;100;94;106;117;118;136;98;85;89;1349 
38;108;454;446;339;317;374;303;390;489;443;404;362;370;4691 
38;109;45;47;53;52;39;74;141;110;67;68;52;55;803 
30;110;460;389;396;396;394;427;397;448;523;558;528;558;5474 
30;111;30;65;30;53;46;37;33;36;37;45;34;42;488 
30;112;102;60;87;81;65;78;79;54;65;52;58;66;847 
25;118;484;428;470;396;350;363;394;476;496;465;439;440;5201 
35;119;177;167;173;150;179;127;150;164;169;143;141;178;1918 
35;120;71;62;74;58;46;80;71;77;58;80;62;50;789 
32;121;134;141;215;141;152;152;151;146;195;144;124;132;1827 
32;122;54;60;62;48;70;45;45;61;62;68;59;63;697 
32;123;893;824;828;846;787;770;925;816;845;870;856;793;10053 
25;124;405;305;345;316;286;273;284;271;287;313;269;347;3701 
25;125;278;271;276;243;264;238;255;263;250;268;254;254;3114 
25;126;1111;1013;1065;853;807;707;762;754;796;803;814;927;10412 
25;127;311;217;254;249;216;196;220;225;410;243;243;263;3047 
32;128;652;546;723;569;547;489;494;539;559;614;536;520;6788 
25;129;126;94;103;100;94;96;73;84;90;105;87;106;1158 
32;130;79;91;85;81;87;93;112;77;73;103;73;75;1029 
25;132;176;119;115;110;114;80;110;102;87;124;88;111;1336 
8;134;913;958;937;870;871;923;952;972;891;977;943;893;11100 
36;135;88;94;101;118;85;80;94;103;107;100;97;82;1149 
36;136;188;162;180;238;223;231;186;176;201;227;174;149;2335 
36;137;95;97;121;119;133;114;113;109;114;112;117;112;1356 
29;138;29;25;25;20;23;23;16;30;23;28;36;21;299 
29;139;69;64;91;78;73;63;74;86;78;63;61;95;895 
29;140;48;59;50;46;64;62;47;48;59;74;62;53;672 
8;141;99;86;121;106;87;88;76;109;104;125;99;96;1196 
36;142;44;42;40;42;37;24;35;35;44;40;35;39;457 
29;143;328;335;325;343;330;320;242;296;299;313;351;374;3856 
29;144;115;141;146;154;120;118;127;134;132;142;121;144;1594 
8;145;195;144;152;138;132;103;109;143;171;150;122;125;1684 
8;146;507;457;529;521;434;427;375;420;442;410;375;479;5376 
8;147;121;78;125;103;98;68;72;90;95;96;113;91;1150 
29;148;57;87;58;77;75;90;70;80;80;84;58;61;877 
11;151;788;854;743;715;603;600;617;718;714;681;672;618;8323 
11;152;45;41;34;28;34;29;37;36;34;42;29;27;416 
11;153;68;88;103;85;58;65;85;62;54;78;58;66;870 
11;154;69;75;44;72;54;40;88;64;76;105;70;79;836 
36;155;27;27;15;38;28;18;18;23;18;23;34;19;288 
11;156;30;30;32;26;33;25;23;23;46;32;26;31;357 
11;157;36;27;39;27;31;20;28;30;22;29;28;25;342 
11;158;61;45;45;59;44;56;57;76;64;68;53;47;675 
35;159;185;159;147;167;151;160;151;165;158;195;157;201;1996 
33;165;183;191;180;146;115;129;123;152;150;165;190;173;1897 
33;166;563;528;574;451;477;469;439;471;478;548;501;530;6029 
33;167;266;207;219;210;190;155;172;180;184;189;173;157;2302 
33;168;48;47;57;40;45;53;42;51;56;56;37;54;586
