cod_uf,cod_munic,munic,agr10,agr11,agr12,agr13,ind10,ind11,ind12,ind13,ser1_10,ser1_11,ser1_12,ser1_13,apu10,apu11,apu12,apu13,vab10,vab11,vab12,vab13,imp10,imp11,imp12,imp13,pib10,pib11,pib12,pib13,pop10,pop11,pop12,pop13,pcap10,pcap11,pcap12,pcap13
33,3300902,Cambuci,27282.213,51588.318,46449.084,43362.365,14979.517,16719.439,21237.024,24527.415,51180.729,54868.931,62457.365,66305.974,68565.614,75096.483,82147.165,89383.985,162008.073,198273.171,212290.638,223579.739,6894.764,16260.422,13616.229,28261.957,168902.837,214533.593,225906.868,251841.696,14829,14840,14851,14862,11390.04,14456.44,15211.56,16945.34
33,3300936,Carapebus,5644.122,6807.247,7214.43,8648.385,339936.767,489029.33,545847.954,469137.53,161956.268,211028.812,228614.956,234532.512,85272.167,91900.142,100618.249,123210.132,592809.324,798765.53,882295.589,835528.558,11793.632,14754.685,17171.942,22540.67,604602.956,813520.215,899467.531,858069.228,13348,13697,14024,14408,45295.4,59394.04,64137.73,59555.05
33,3300951,Comendador Levy Gasparian,2232.818,2959.133,3535.128,3753.408,20821.397,25469.169,33928.611,51183.749,125592.916,87865.574,87580.886,83194.393,41237.507,44955.295,46580.475,56700.312,189884.639,161249.17,171625.1,194831.863,19292.3,21966.193,24018.74,26288.214,209176.939,183215.363,195643.84,221120.077,8183,8200,8219,8240,25562.38,22343.34,23803.85,26834.96
33,3301009,Campos dos Goytacazes,127129.928,131300.879,175226.066,147429.511,24832243.51,33794774.78,40274712.99,37865660.16,10651444.15,13593916.24,15312495.67,16009717.12,2253466.42,2539862.735,2629502.634,3073955.34,37864284.01,50059854.63,58391937.37,57096762.13,808213.874,950747.791,1079474.153,1152694.076,38672497.89,51010602.42,59471411.52,58249456.21,463545,468087,472300,477208,83427.71,108976.76,125918.72,122063.03
33,3301108,Cantagalo,14611.244,16349.931,17788.714,20194.014,402349.658,341902.65,462373.961,443444.228,134494.111,146895.891,174948.733,186242.506,97319.953,107877.028,121157.942,133650.422,648774.967,613025.5,776269.35,783531.17,81051.463,69120.667,83767.568,76300.579,729826.43,682146.167,860036.918,859831.749,19826,19830,19830,19825,36811.58,34399.71,43370.5,43371.08
33,3301157,Cardoso Moreira,14865.456,13774.712,18931.146,18076.88,8218.645,17606.784,67127.769,103250.665,25381.13,30695.996,49761.097,66022.28,62999.642,69758.07,74930.395,86928.331,111464.874,131835.562,210750.407,274278.156,6097.095,5971.16,9275.319,14914.103,117561.969,137806.722,220025.726,289192.259,12540,12601,12601,12599,9374.96,10936.17,17460.97,22953.59
33,3301207,Carmo,8990.803,10415.532,11397.439,12188.262,85366.646,95949.13,72968.927,57767.325,70625.461,72657.393,83412.471,88800.989,82294.728,90028.296,96616.576,107941.791,247277.638,269050.351,264395.414,266698.367,20370.821,21192.649,27805.923,37753.81,267648.46,290243,292201.337,304452.177,17439,17599,17758,17944,15347.7,16492.02,16454.63,16966.8
33,3301306,Casimiro de Abreu,7755.608,9111.612,9339.132,9767.951,1230033.341,1952564.256,2731045.701,2572634.056,596532.629,844500.638,1072833.064,1110264.966,198749.257,218081.912,244317.837,302323.154,2033070.835,3024258.418,4057535.734,3994990.127,47893.193,57100.109,68548.104,73385.857,2080964.029,3081358.526,4126083.838,4068375.984,35373,36360,37340,38492,58829.16,84745.83,110500.37,105694.07
33,3301405,Concei‡Æo de Macabu,5506.472,5931.763,7242.039,8612.275,8342.67,9712.58,11600.725,10384.574,59349.033,66985.613,80348.137,92872.64,97278.752,108145.197,117423.112,131703.354,170476.926,190775.153,216614.013,243572.843,9618.669,11591.312,14730.567,18864.692,180095.595,202366.465,231344.581,262437.535,21200,21416,21613,21844,8495.08,9449.31,10703.96,12014.17
33,3301504,Cordeiro,2882.314,3045.821,3381.232,3869.19,34578.362,29376.656,33220.143,38595.586,80160.299,87286.12,96781.968,112119.628,85367.288,95155.442,105685.075,122398.684,202988.263,214864.039,239068.419,276983.089,11132.243,12302.594,14105.275,16464.144,214120.507,227166.632,253173.694,293447.233,20403,20571,20707,20863,10494.56,11043.05,12226.48,14065.44
33,3301603,Duas Barras,22130.767,36241.355,31586.501,34627.566,6045.786,7679.421,8275.351,12011.851,26827.006,34471.182,35729.885,44835.26,53422.874,59723.219,66879.527,76381.22,108426.434,138115.177,142471.264,167855.897,-1010.914,4434.772,6316.191,18684.133,107415.52,142549.949,148787.455,186540.029,10933,10976,11020,11070,9824.89,12987.42,13501.58,16850.95
33,3301702,Duque de Caxias,4016.576,6016.104,6189.016,6707.328,6421946.803,3563965.416,1544188.496,1860391.167,9950345.727,11083123.85,12284372.85,14108411.87,3653254.471,4070727.942,4268692.359,4899767.882,20029563.58,18723833.31,18103442.72,20875278.25,3433354.156,3698976.314,3830025.646,4232652.139,23462917.73,22422809.62,21933468.37,25107930.39,855046,861158,867067,873921,27440.53,26037.97,25296.16,28730.21
33,3301801,Engenheiro Paulo de Frontin,4767.007,5453.704,1430.924,1378.302,34138.027,27723.935,31836.752,24142.244,56741.491,54737.02,58882.681,61581.172,63448.436,70451.338,77946.811,86336.569,159094.962,158365.997,170097.169,173438.287,10502.957,9460.767,9254.254,7665.329,169597.919,167826.764,179351.422,181103.617,13239,13324,13408,13505,12810.48,12595.82,13376.45,13410.12
33,3301850,Guapimirim,6703.71,9370.547,10466.613,13542.198,91784.006,73663.849,82688.614,93765.499,256308.92,233101.575,247754.9,251192.29,228705.925,257221.087,268462.553,314894.573,583502.562,573357.058,609372.679,673394.56,39897.501,40526.142,40749.268,48080.15,623400.062,613883.2,650121.947,721474.71,51487,52522,53527,54706,12107.91,11688.12,12145.68,13188.22
33,3301876,Iguaba Grande,1145.219,1351.077,1454.416,1786.858,17466.839,18384.516,35945.047,25998.478,80352.712,90260.046,111968.592,121712.995,106996.005,121552.99,131994.421,154427.811,205960.774,231548.63,281362.476,303926.142,10801.901,12685.296,15459.076,16579.153,216762.675,244233.926,296821.552,320505.295,22858,23475,24079,24788,9483.01,10404,12326.99,12929.86
33,3301900,Itabora¡,4099.042,5119.713,5544.483,7610.275,484922.882,602271.474,1253102.922,1544335.62,839698.804,1061535.255,1337878.357,1545305.847,898120.428,1007125.599,1117938.252,1275075.978,2226841.157,2676052.04,3714464.013,4372327.721,213275.462,291221.135,474884.475,647030.076,2440116.619,2967273.175,4189348.488,5019357.796,218090,220352,222618,225263,11188.58,13466.06,18818.55,22282.21
